product_name,brands,nutriscore_grade,nova_group,energy-kcal_100g,sugars_100g,sodium_100g,saturated-fat_100g,fat_100g,carbohydrates_100g,proteins_100g,fiber_100g,additives_n,url,pnns_groups_1,pnns_groups_2,ID_Match
tisane saveur lunaire,Nescafe,unknown,4.0,,,,,,,,,0.0,http://world-en.openfoodfacts.org/product/00000140/tisane-saveur-lunaire-nescafe,Beverages,Unsweetened beverages,TISANE SAVEUR LUNAIRE | NESCAFE
Mct Oil Powder,Opportuniteas,d,4.0,700.0,0.0,0.1,70.0,70.0,20.0,0.0,20.0,1.0,http://world-en.openfoodfacts.org/product/00000154/mct-oil-powder-opportuniteas,unknown,unknown,MCT OIL POWDER | OPPORTUNITEAS
076750267156369333439407316452,Regalo,unknown,,,,,,,,,,,http://world-en.openfoodfacts.org/product/0000100561067/076750267156369333439407316452-regalo,unknown,unknown,076750267156369333439407316452 | REGALO
Tostadas,Ositos,a,3.0,450.0,0.0,0.102,0.0,20.0,60.0,5.0,10.0,0.0,http://world-en.openfoodfacts.org/product/0000103227240/tostadas-ositos,unknown,unknown,TOSTADAS | OSITOS
Crema de cacahuate,Goober,unknown,,,,,,,,,,,http://world-en.openfoodfacts.org/product/0000150002066/crema-de-cacahuate-goober,unknown,unknown,CREMA DE CACAHUATE | GOOBER
Isabar,Isagenix,d,4.0,,25.0,0.22352,4.5,9.0,49.0,28.0,5.0,4.0,http://world-en.openfoodfacts.org/product/0000182602460/isabar-isagenix,Sugary snacks,Biscuits and cakes,ISABAR | ISAGENIX
Proteína de Soya My Smart Shake,Usana,d,4.0,364.1,0.0,0.7179,12.8,15.3,10.2,46.1,20.5,5.0,http://world-en.openfoodfacts.org/product/0000205110600/proteina-de-soya-my-smart-shake-usana,unknown,unknown,PROTEÍNA DE SOYA MY SMART SHAKE | USANA
Parmesano rallado,Kraft,unknown,,,,,,,,,,,http://world-en.openfoodfacts.org/product/0000210000385/parmesano-rallado-kraft,unknown,unknown,PARMESANO RALLADO | KRAFT
Nutrek,GoLife,a,4.0,511.0,0.0,0.211,0.0,0.0,40.9,86.8,10.5,6.0,http://world-en.openfoodfacts.org/product/00002644/nutrek-golife,unknown,unknown,NUTREK | GOLIFE
Queso Monterrey Jack,Joseph Farms,unknown,,617.0,,1.0,31.7,50.0,0.0,40.0,,,http://world-en.openfoodfacts.org/product/0000523312004/queso-monterrey-jack-joseph-farms,unknown,unknown,QUESO MONTERREY JACK | JOSEPH FARMS
Milton's Galletas Saladas Multigrano 4 pzas de 238 g,Milton´s,c,4.0,444.4,6.3,0.625,0.0,18.8,62.5,6.3,6.3,2.0,http://world-en.openfoodfacts.org/product/0000654193184/milton-s-galletas-saladas-multigrano-4-pzas-de-238-g,Sugary snacks,Biscuits and cakes,MILTON'S GALLETAS SALADAS MULTIGRANO 4 PZAS DE 238 G | MILTON´S
Gold Standard 100% Whey,Optimum Nutrition,unknown,4.0,401.0,3.29,0.428,3.29,4.93,9.87,78.9,,3.0,http://world-en.openfoodfacts.org/product/00007271/gold-standard-100-whey-optimum-nutrition,unknown,unknown,GOLD STANDARD 100% WHEY | OPTIMUM NUTRITION
Fibra Canadiense McBerry,McBerry,unknown,,433.0,,1.79,,26.6,27.1,20.9,13.1,0.0,http://world-en.openfoodfacts.org/product/0000746263446/fibra-canadiense-mcberry,unknown,unknown,FIBRA CANADIENSE MCBERRY | MCBERRY
Fiesta blend cheese,Great value,unknown,,382.0,0.1,0.605,17.1,29.9,5.2,23.0,,,http://world-en.openfoodfacts.org/product/0000787421227/fiesta-blend-cheese-great-value,unknown,unknown,FIESTA BLEND CHEESE | GREAT VALUE
Pan Danes Cuernos,Pan para disfrutar y compartir,unknown,,,,,,,,,,,http://world-en.openfoodfacts.org/product/00008540/pan-danes-cuernos-pan-para-disfrutar-y-compartir,Cereals and potatoes,Bread,PAN DANES CUERNOS | PAN PARA DISFRUTAR Y COMPARTIR
Mister Natural - Chabacano Deshidratado,Mister Natural,d,,232.0,53.0,0.01,0.0,0.0,55.0,3.0,8.0,0.0,http://world-en.openfoodfacts.org/product/0000880688787/mister-natural-chabacano-deshidratado,Fruits and vegetables,Dried fruits,MISTER NATURAL - CHABACANO DESHIDRATADO | MISTER NATURAL
Mister Natural - Datil Premium,Mister Natural,c,1.0,284.0,65.0,0.0,0.0,0.0,68.0,3.0,8.0,0.0,http://world-en.openfoodfacts.org/product/0000880688789/mister-natural-datil-premium,Fruits and vegetables,Dried fruits,MISTER NATURAL - DATIL PREMIUM | MISTER NATURAL
Ajo picado Del Monte,Del Monte,b,4.0,,0.0,0.237,0.0,0.0,0.0,0.0,0.0,3.0,http://world-en.openfoodfacts.org/product/0001006530676/ajo-picado-del-monte,unknown,unknown,AJO PICADO DEL MONTE | DEL MONTE
Rockaleta,Pepsico,e,4.0,,79.2,2.33,0.0,0.0,91.7,0.0,0.0,9.0,http://world-en.openfoodfacts.org/product/0001011145566/rockaleta-pepsico,Sugary snacks,Sweets,ROCKALETA | PEPSICO
Tortillas De Maíz,La Comer,unknown,,211.0,0.0,0.0435,0.217,1.74,43.9,4.78,4.78,,http://world-en.openfoodfacts.org/product/00010504/tortillas-de-maiz-la-comer,unknown,unknown,TORTILLAS DE MAÍZ | LA COMER
totopos,La comer,unknown,,437.0,0.0,0.163,,22.3,53.7,5.71,5.71,,http://world-en.openfoodfacts.org/product/00010733/totopos-la-comer,unknown,unknown,TOTOPOS | LA COMER
fruti wago,Fruti Wago,unknown,,,,,,,,,,,http://world-en.openfoodfacts.org/product/0001133044292/fruti-wago,unknown,unknown,FRUTI WAGO | FRUTI WAGO
Sopa preparada de fideos,Knorr,unknown,4.0,31.0,0.5,0.265,0.1,0.3,5.9,1.1,0.3,2.0,http://world-en.openfoodfacts.org/product/0001205129961/sopa-preparada-de-fideos-knorr,Cereals and potatoes,Cereals,SOPA PREPARADA DE FIDEOS | KNORR
Harina para preparar pastel amarillo,Betty crocker,unknown,3.0,,,,,,,,,2.0,http://world-en.openfoodfacts.org/product/0001600049096/harina-para-preparar-pastel-amarillo-betty-crocker,Cereals and potatoes,Cereals,HARINA PARA PREPARAR PASTEL AMARILLO | BETTY CROCKER
Monkfruit Sweetener,Lakanto,not-applicable,4.0,,,,,,,,,1.0,http://world-en.openfoodfacts.org/product/00017469/monkfruit-sweetener-lakanto,unknown,unknown,MONKFRUIT SWEETENER | LAKANTO
